,0
LeftExtThalamus_LargeAreaEmphasis,0.0011793112722876383
LeftPutamen_90Percentile,0.0011641426458677614
RightLateralVentricle_SumEntropy,0.0011581019626137703
RightRedNucleus_ZonePercentage,0.0011531624182605743
RightCST_InterquartileRange,0.0011516144629674502
LeftPosterior_ClusterShade,0.001150622654886261
LeftExtThalamus_SizeZoneNonUniformityNormalized,0.0011493962200032578
RightIntThalamus_Entropy,0.0011348799841458385
RightRedNucleus_RootMeanSquared,0.0011283166019533466
LeftCCSplenium_SumEntropy,0.0011251328990411651
RightInsideThalamus_JointAverage,0.0011229370234172073
LeftLateralVentricle_JointEntropy,0.0011144054714301522
RightPosterior_Maximum,0.001112242256908561
LeftIntThalamus_Contrast,0.0011111274789143747
LeftExtThalamus_Idm,0.0011030962743201172
RightCCGenu_Energy,0.0011010290483918508
RightPutamen_Energy,0.0010929617491500872
RightLateralVentricle_LargeAreaEmphasis,0.0010903069463840352
RightIntThalamus_90Percentile,0.0010859261098382195
LeftFrontal_Range,0.0010807688222764858
RightLateralVentricle_DifferenceVariance,0.001072988150795585
LeftVentricle_90Percentile,0.0010570116319468554
RightPosterior_InverseVariance,0.0010554899571416816
RightLateralVentricle_ZoneEntropy,0.0010551511920334675
LeftLateralVentricle_MaximumProbability,0.0010495170166256046
LeftExtThalamus_InverseVariance,0.001047840135335419
LeftRedNucleus_Imc2,0.0010450137295222991
LeftFrontal_Imc2,0.0010433914258620098
RightSuperior_Uniformity,0.0010404492899524047
LeftPosterior_SumAverage,0.001038781915518835
RightCaudate_GrayLevelNonUniformity,0.001032784008638658
LeftCCGenu_DifferenceVariance,0.0010290370263387528
LeftRedNucleus_Median,0.0010252989710604278
RightLateralVentricle_Idm,0.001025033826463003
RightFrontal_LargeAreaEmphasis,0.0010224606949179448
RightCCSplenium_MaximumProbability,0.0010198747245916844
LeftIntThalamus_ZonePercentage,0.0010062632760319628
LeftRedNucleus_SumSquares,0.0010047330109497724
RightRedNucleus_LargeAreaEmphasis,0.0010032570823875662
LeftIntThalamus_Kurtosis,0.0010028406080044574
RightCST_DifferenceVariance,0.0010001617284377455
LeftLateralVentricle_SizeZoneNonUniformity,0.0009943534447187487
LeftCST_Kurtosis,0.0009847668860694955
RightLateralVentricle_Imc1,0.0009834309551422127
RightCaudate_SizeZoneNonUniformityNormalized,0.0009823273995181502
RightCCGenu_90Percentile,0.0009807755813069268
RightSuperior_Kurtosis,0.0009771310906560385
RightLateralVentricle_ZoneVariance,0.0009710822739025271
RightPutamen_GrayLevelVariance,0.0009708825916146593
RightCaudate_Contrast,0.0009686209846045615
LeftSuperior_JointEnergy,0.0009602639671353125
RightCST_RobustMeanAbsoluteDeviation,0.0009561935626910769
RightCaudate_Skewness,0.0009486100899992799
LeftSuperior_DifferenceEntropy,0.0009434291799592344
LeftCCSplenium_JointEnergy,0.0009355926110123985
RightRedNucleus_Energy,0.000923297045633422
LeftSuperior_RobustMeanAbsoluteDeviation,0.0009166716426008512
LeftFrontal_InterquartileRange,0.0009165075259197502
LeftSuperior_MCC,0.0009143095166018685
RightFrontal_ClusterShade,0.0009112260384133894
LeftCaudate_SizeZoneNonUniformityNormalized,0.0009108712788705882
RightRedNucleus_Minimum,0.0009005252764904443
RightPutamen_ZoneEntropy,0.0009002549052175261
LeftVentricle_10Percentile,0.0008977440426334668
LeftCST_InverseVariance,0.0008952044507554564
RightExtThalamus_90Percentile,0.0008930723483624221
RightCST_Energy,0.000892144585397995
RightVentricle_GrayLevelNonUniformity,0.0008901252676017086
LeftVentricle_Maximum,0.0008883189945672421
RightRedNucleus_JointEntropy,0.0008867634814272922
RightSuperior_Idm,0.0008835144606771636
LeftPutamen_MeanAbsoluteDeviation,0.0008736954175393064
RightPosterior_Idm,0.0008736842640480458
RightCaudate_Mean,0.0008732563176308742
RightCCSplenium_ZoneEntropy,0.0008702094926341809
RightCCSplenium_Maximum,0.0008682414090373727
LeftCaudate_InverseVariance,0.0008680264705292355
RightRedNucleus_Imc2,0.0008676034966200091
RightRedNucleus_ClusterProminence,0.000867159547433277
RightPutamen_Maximum,0.0008637931150276776
LeftVentricle_Correlation,0.0008601205736989617
RightPutamen_RootMeanSquared,0.0008589819002131757
RightLateralVentricle_Median,0.0008582368456429588
RightSuperior_ZoneVariance,0.0008554903440198824
LeftRedNucleus_MeanAbsoluteDeviation,0.0008541143256261313
LeftSuperior_Imc1,0.0008436985798507572
LeftPutamen_SumEntropy,0.0008417698235315626
LeftPosterior_Imc1,0.0008397221699574918
LeftCaudate_ZoneVariance,0.0008344648640826263
RightSuperior_Correlation,0.0008285295236448045
LeftIntThalamus_Imc1,0.0008285050827818177
RightIntThalamus_Contrast,0.000822486796700735
LeftPutamen_MaximumProbability,0.0008200585021536509
RightRedNucleus_Contrast,0.0008160113087394187
RightVentricle_Mean,0.0008148947897542257
LeftIntThalamus_Range,0.0008138464386179947
LeftPutamen_Skewness,0.0008119594023989582
RightCST_JointEntropy,0.0008116909652653116
RightPosterior_LowGrayLevelZoneEmphasis,0.0008110194614275322
LeftPutamen_DifferenceEntropy,0.0008109677127656765
RightLateralVentricle_Entropy,0.0008069005343903027
LeftRedNucleus_JointEntropy,0.0008055778860964273
RightVentricle_Idm,0.0008047070794010222
LeftPutamen_InterquartileRange,0.0008037198514895877
RightLateralVentricle_SizeZoneNonUniformityNormalized,0.0008034762191575081
LeftPutamen_JointEnergy,0.0008025097946231842
RightCCSplenium_SumEntropy,0.0008014193290942029
LeftFrontal_ZoneVariance,0.0008002829839879467
RightCaudate_MeanAbsoluteDeviation,0.0007998620594066049
RightRedNucleus_90Percentile,0.000798591502573831
RightCST_Contrast,0.0007952469860069999
LeftIntThalamus_SumAverage,0.0007945020855717347
LeftExtThalamus_SmallAreaEmphasis,0.0007937812850991893
RightCCGenu_Imc1,0.0007936440903101262
RightCST_Correlation,0.0007874994837539792
LeftInsideThalamus_Energy,0.0007863179983346186
RightPosterior_Imc1,0.0007844470570875017
LeftCCGenu_DifferenceEntropy,0.0007784680214160475
RightLateralVentricle_InterquartileRange,0.0007758648690923841
RightLateralVentricle_10Percentile,0.0007752025542656061
RightInsideThalamus_SumAverage,0.0007750087664565884
LeftCaudate_Idm,0.0007695463472274473
RightSuperior_SizeZoneNonUniformity,0.0007692277177721847
RightExtThalamus_Correlation,0.0007676436749979904
LeftPosterior_GrayLevelVariance,0.0007653662548134273
RightIntThalamus_ClusterProminence,0.0007646249352539616
LeftRedNucleus_Contrast,0.0007639996860668505
LeftCaudate_JointEnergy,0.0007626209990180745
RightCCGenu_RobustMeanAbsoluteDeviation,0.000758955070318057
LeftPosterior_Contrast,0.0007576849748414262
RightLateralVentricle_Minimum,0.0007564877767043836
RightVentricle_JointEnergy,0.0007546084789363428
RightSuperior_ZonePercentage,0.0007532692679510715
LeftLateralVentricle_Correlation,0.0007506871497400852
RightCST_ClusterShade,0.0007488882860961505
RightInsideThalamus_DifferenceVariance,0.0007488099659927591
RightCCSplenium_InterquartileRange,0.0007478878116014418
LeftSuperior_Idm,0.0007476758895519492
LeftFrontal_JointEnergy,0.0007472444194586539
LeftPutamen_Contrast,0.0007470859731920799
RightFrontal_Autocorrelation,0.0007469463978670749
RightSuperior_HighGrayLevelZoneEmphasis,0.0007448270306339676
LeftCCGenu_SumEntropy,0.0007446421983045941
RightSuperior_LowGrayLevelZoneEmphasis,0.000742086851575324
LeftSuperior_Range,0.0007400074306949567
LeftPosterior_StandardDeviation,0.0007366681270293087
RightRedNucleus_HighGrayLevelZoneEmphasis,0.0007341026207386462
RightIntThalamus_DifferenceAverage,0.0007337731302931576
RightSuperior_JointEntropy,0.0007336129456720637
LeftIntThalamus_SumEntropy,0.0007318691461371839
RightCaudate_90Percentile,0.0007317944017603386
LeftCaudate_DifferenceAverage,0.0007312961439225908
LeftExtThalamus_ZoneVariance,0.000730265891254337
LeftInsideThalamus_Correlation,0.0007296247775859155
LeftCCGenu_Median,0.0007292148176936169
LeftCaudate_MCC,0.0007289680062686349
RightCST_Imc1,0.0007271065690565203
LeftCCGenu_StandardDeviation,0.0007235280392720295
RightCCSplenium_SmallAreaEmphasis,0.0007215883628642677
LeftPosterior_Idm,0.000721501360674671
LeftPutamen_JointEntropy,0.0007214756778903697
LeftCCSplenium_LowGrayLevelZoneEmphasis,0.0007189661974132112
RightLateralVentricle_Contrast,0.0007159747728059053
RightCaudate_JointAverage,0.0007142543843159232
LeftIntThalamus_ClusterProminence,0.0007104549550882875
LeftIntThalamus_SizeZoneNonUniformityNormalized,0.0007029476068911901
RightVentricle_JointAverage,0.0006981495210431606
LeftCaudate_DifferenceVariance,0.0006981208366644595
LeftFrontal_Skewness,0.0006969568574130279
RightSuperior_Imc2,0.000695371324981484
RightPosterior_Correlation,0.0006953177565480264
LeftRedNucleus_Imc1,0.0006937995289327325
RightVentricle_LowGrayLevelZoneEmphasis,0.0006913306684533733
RightRedNucleus_InterquartileRange,0.0006891271712740823
LeftCaudate_ZonePercentage,0.0006884724038135703
LeftExtThalamus_90Percentile,0.0006882180016541151
LeftCCGenu_Correlation,0.0006861958669181746
LeftLateralVentricle_SumSquares,0.0006859166707866446
RightLateralVentricle_SmallAreaEmphasis,0.000684931232369767
RightIntThalamus_Maximum,0.0006840016676777451
LeftIntThalamus_Energy,0.0006835354697436893
LeftFrontal_Kurtosis,0.0006828273053286801
RightFrontal_SizeZoneNonUniformity,0.0006811310193573486
LeftIntThalamus_DifferenceEntropy,0.000680203955753209
RightIntThalamus_Range,0.0006799717654040397
LeftInsideThalamus_ZonePercentage,0.0006783678446362564
RightPosterior_SumEntropy,0.0006740982839100858
LeftLateralVentricle_ZonePercentage,0.0006714494170780423
RightLateralVentricle_SumAverage,0.0006708514927394571
RightLateralVentricle_MaximumProbability,0.0006671384297184607
LeftIntThalamus_SumSquares,0.0006662454143482847
LeftInsideThalamus_MaximumProbability,0.0006661052816223501
RightCCSplenium_Uniformity,0.0006634612339658657
RightPutamen_Mean,0.0006630740064574213
LeftRedNucleus_StandardDeviation,0.0006628718734626561
RightIntThalamus_HighGrayLevelZoneEmphasis,0.0006625243497203155
RightCaudate_10Percentile,0.0006601220262175938
LeftVentricle_DifferenceAverage,0.0006594498246987762
LeftPosterior_DifferenceVariance,0.0006593506136781652
LeftCaudate_GrayLevelNonUniformity,0.0006578732206141992
RightVentricle_SizeZoneNonUniformityNormalized,0.000656912674597651
RightCaudate_SmallAreaEmphasis,0.0006566233475871783
LeftPutamen_Minimum,0.0006564690776576809
LeftVentricle_Entropy,0.0006545239775240306
LeftLateralVentricle_LowGrayLevelZoneEmphasis,0.0006537498191971585
RightPosterior_ZonePercentage,0.0006537105139471464
RightInsideThalamus_Idm,0.0006525305659173373
RightRedNucleus_ClusterShade,0.0006488045921671689
LeftCCSplenium_SmallAreaEmphasis,0.0006485687233500888
LeftInsideThalamus_Imc1,0.0006485329780514825
LeftRedNucleus_SizeZoneNonUniformityNormalized,0.0006451979605991505
RightCST_Uniformity,0.0006426271437715883
LeftPutamen_Maximum,0.0006397970744638496
RightPosterior_JointEntropy,0.0006382734774293286
LeftPutamen_SumSquares,0.0006375779302519585
LeftInsideThalamus_InverseVariance,0.0006364274224738117
RightInsideThalamus_RootMeanSquared,0.0006362038501930645
LeftPutamen_Energy,0.0006359922194846733
LeftPutamen_Imc1,0.0006346543351627287
LeftVentricle_Minimum,0.000631393220431812
LeftRedNucleus_LargeAreaEmphasis,0.0006289860967138481
LeftPosterior_MaximumProbability,0.0006287102980577885
RightFrontal_ZoneVariance,0.0006274543779933833
LeftExtThalamus_Energy,0.0006256143706312897
LeftCST_ClusterProminence,0.0006248655058965559
RightSuperior_Imc1,0.0006225377464898364
LeftCST_ZoneVariance,0.0006207176471261368
RightPosterior_Entropy,0.00062063075078804
RightPosterior_Uniformity,0.0006183812002868007
LeftCST_SmallAreaEmphasis,0.0006175503496333685
LeftInsideThalamus_JointAverage,0.000616711690856552
RightIntThalamus_RootMeanSquared,0.0006165207790362812
LeftInsideThalamus_90Percentile,0.0006162143054215241
LeftRedNucleus_DifferenceEntropy,0.000612872983974116
LeftCaudate_Contrast,0.0006123456655995413
RightLateralVentricle_LowGrayLevelZoneEmphasis,0.0006109278843027645
LeftPosterior_SizeZoneNonUniformity,0.0006106742057194808
RightCaudate_RootMeanSquared,0.0006090317633438742
RightLateralVentricle_Kurtosis,0.0006083764947898071
LeftSuperior_Uniformity,0.0006076241378087185
RightCaudate_ZonePercentage,0.0006074943225204434
RightInsideThalamus_GrayLevelVariance,0.0006063372339261762
RightInsideThalamus_Correlation,0.0006060941824977219
LeftExtThalamus_Kurtosis,0.0006060677147622432
LeftFrontal_LowGrayLevelZoneEmphasis,0.0006050226594291814
LeftLateralVentricle_90Percentile,0.0006044727340784014
LeftRedNucleus_DifferenceVariance,0.0006037154490607353
LeftPosterior_InverseVariance,0.000603348112328111
LeftPosterior_RobustMeanAbsoluteDeviation,0.0006013570579215512
LeftExtThalamus_MeanAbsoluteDeviation,0.0006008650788986942
RightFrontal_ZoneEntropy,0.0006006088967393186
LeftInsideThalamus_Mean,0.0005990223888907957
LeftCST_LargeAreaEmphasis,0.0005958416761568499
LeftCCSplenium_SizeZoneNonUniformity,0.0005953383946018698
RightInsideThalamus_Autocorrelation,0.0005950086858352487
LeftFrontal_SumEntropy,0.0005933945809070396
LeftVentricle_RobustMeanAbsoluteDeviation,0.0005931032681801737
LeftSuperior_SizeZoneNonUniformity,0.0005927692589582057
LeftRedNucleus_ZoneEntropy,0.0005901824922601269
RightInsideThalamus_MaximumProbability,0.0005899293689189711
RightLateralVentricle_GrayLevelNonUniformity,0.0005872387536258363
RightPutamen_SmallAreaEmphasis,0.0005843489280609661
LeftCST_Imc1,0.0005837886674328011
LeftIntThalamus_HighGrayLevelZoneEmphasis,0.0005832019154482792
RightCaudate_ZoneVariance,0.0005828938543048314
RightFrontal_ZonePercentage,0.0005828109939377264
RightLateralVentricle_DifferenceAverage,0.0005811645366810488
RightFrontal_Imc2,0.0005806561064375953
RightRedNucleus_SmallAreaEmphasis,0.0005804265919451884
RightExtThalamus_Skewness,0.0005796726960789316
RightCCGenu_DifferenceAverage,0.000579510177551865
LeftVentricle_LargeAreaEmphasis,0.0005790232318241906
RightLateralVentricle_ZonePercentage,0.0005785070773480336
LeftInsideThalamus_MeanAbsoluteDeviation,0.0005776160755557241
RightCCGenu_SumSquares,0.0005769226832704426
LeftLateralVentricle_JointEnergy,0.0005753411555760046
LeftLateralVentricle_Imc1,0.0005747307118355969
LeftCaudate_Range,0.0005740516486249319
RightPutamen_LowGrayLevelZoneEmphasis,0.0005737299447120117
RightVentricle_ClusterProminence,0.000573008040268127
